id,ap1,ap2,ap3,x,y,created_at
2,-82,-81,-58,1,2.0,2026-06-27 08:07:53
3,-85,-83,-54,1,2.0,2026-06-27 08:08:01
4,-85,-83,-63,1,2.0,2026-06-27 08:10:03
5,-76,-76,-46,1,2.0,2026-06-27 08:11:58
6,-79,-79,-50,1,2.0,2026-06-27 08:12:03
7,-77,-76,-50,1,2.0,2026-06-27 08:13:55
8,-85,-76,-51,1,2.0,2026-06-27 08:14:06
9,-74,-76,-50,1,2.0,2026-06-27 08:14:17
10,-85,-76,-48,1,2.0,2026-06-27 08:15:57
11,-77,-75,-47,1,2.0,2026-06-27 08:16:11
12,-77,-75,-47,5,2.0,2026-06-27 08:17:15
13,-79,-83,-66,5,2.0,2026-06-27 08:17:58
14,-76,-83,-70,5,2.0,2026-06-27 08:18:09
15,-80,-71,-59,5,2.0,2026-06-27 08:19:56
16,-79,-87,-61,5,2.0,2026-06-27 08:20:13
17,-74,-75,-61,5,2.0,2026-06-27 08:21:57
18,-73,-76,-69,5,2.0,2026-06-27 08:22:15
19,-71,-76,-64,5,2.0,2026-06-27 08:23:56
20,-75,-76,-59,5,2.0,2026-06-27 08:26:05
21,-74,-76,-60,5,2.0,2026-06-27 08:26:34
22,-68,-70,-59,9,2.0,2026-06-27 08:27:58
23,-66,-68,-60,9,2.0,2026-06-27 08:28:20
24,-67,-68,-61,9,2.0,2026-06-27 08:29:58
25,-69,-67,-58,9,2.0,2026-06-27 08:30:17
26,-73,-70,-66,9,2.0,2026-06-27 08:32:00
27,-73,-70,-62,9,2.0,2026-06-27 08:33:58
28,-74,-64,-68,16,3.75,2026-06-27 08:37:17
29,-66,-60,-64,16,3.75,2026-06-27 08:38:10
30,-66,-60,-64,16,3.75,2026-06-27 08:39:07
31,-61,-58,-64,16,3.75,2026-06-27 08:43:02
32,-61,-58,-64,16,3.75,2026-06-27 08:43:50
33,-64,-57,-65,16,3.75,2026-06-27 08:44:38
34,-66,-63,-64,16,3.75,2026-06-27 08:49:58
35,-71,-66,-65,16,3.75,2026-06-27 08:53:21
36,-75,-75,-62,16,3.75,2026-06-27 08:56:42
37,-70,-60,-62,16,3.75,2026-06-27 08:58:23
38,-64,-65,-70,19,3.75,2026-06-27 08:59:21
39,-62,-76,-71,19,3.75,2026-06-27 09:01:30
40,-61,-74,-70,19,3.75,2026-06-27 09:03:21
41,-61,-74,-68,19,3.75,2026-06-27 09:04:03
42,-56,-69,-64,19,3.75,2026-06-27 09:05:22
43,-56,-69,-69,19,3.75,2026-06-27 09:06:53
44,-59,-70,-69,19,3.75,2026-06-27 09:07:21
45,-59,-66,-76,19,3.75,2026-06-27 09:09:23
46,-57,-74,-76,19,3.75,2026-06-27 09:11:27
47,-60,-74,-68,19,3.75,2026-06-27 09:13:33
48,-60,-60,-64,9,2.0,2026-06-26 09:06:30
49,-61,-69,-56,9,2.0,2026-06-26 09:08:30
50,-66,-63,-66,9,2.0,2026-06-26 09:11:30
